ID,Prediction
1,1
2,1
3,1
4,1
5,1
6,0
7,1
8,1
9,1
10,1
11,0
12,0
13,0
14,1
15,0
16,1
17,1
18,1
19,1
20,1
21,1
22,0
23,0
24,0
25,1
26,1
27,0
28,1
29,1
30,1
31,0
32,0
33,0
34,1
35,1
36,1
37,0
38,1
39,0
40,1
41,1
42,1
43,0
44,1
45,1
46,1
47,1
48,0
49,1
50,0
51,1
52,0
53,0
54,0
55,1
56,1
57,1
58,0
59,0
60,1
61,1
62,0
63,0
64,1
65,0
66,1
67,0
68,0
69,0
70,0
71,0
72,1
73,1
74,1
75,1
76,1
77,0
78,1
79,0
80,1
81,0
82,1
83,0
84,1
85,1
86,0
87,1
88,1
89,1
90,0
91,1
92,0
93,0
94,0
95,0
96,0
97,1
98,0
99,1
100,0
101,1
102,0
103,1
104,1
105,1
106,1
107,1
108,0
109,1
110,1
111,1
112,0
113,1
114,0
115,1
116,0
117,0
118,1
119,1
120,0
121,1
122,1
123,0
124,0
125,1
126,0
127,1
128,0
129,0
130,1
131,1
132,1
133,0
134,1
135,0
136,1
137,0
138,0
139,1
140,0
141,0
142,1
143,0
144,1
145,1
146,1
147,0
148,0
149,0
150,1
151,1
152,1
153,1
154,0
155,0
156,0
157,0
158,1
159,1
160,0
161,0
162,0
163,0
164,1
165,0
166,1
167,1
168,0
169,0
170,0
171,1
172,0
173,0
174,1
175,0
176,1
177,1
178,1
179,1
180,1
181,0
182,1
183,0
184,1
185,1
186,0
187,0
188,1
189,0
190,0
191,0
192,0
193,0
194,0
195,1
196,1
197,1
198,0
199,1
200,1
201,1
202,1
203,1
204,1
205,1
206,1
207,1
208,1
209,1
210,1
211,0
212,1
213,0
214,1
215,1
216,0
217,0
218,1
219,0
220,1
221,0
222,0
223,0
224,1
225,0
226,1
227,1
228,1
229,0
230,0
231,1
232,0
233,1
234,1
235,1
236,0
237,0
238,0
239,1
240,1
241,1
242,0
243,0
244,0
245,1
246,1
247,1
248,0
249,0
250,1
251,1
252,1
253,0
254,1
255,0
256,0
257,1
258,1
259,0
260,1
261,0
262,1
263,1
264,1
265,1
266,0
267,0
268,1
269,0
270,1
271,0
272,0
273,1
274,1
275,1
276,1
277,0
278,1
279,1
280,1
281,1
282,1
283,1
284,0
285,1
286,1
287,1
288,1
289,0
290,1
291,0
292,1
293,0
294,0
295,1
296,1
297,0
298,0
299,1
300,1
301,0
302,0
303,0
304,1
305,1
306,0
307,1
308,0
309,1
310,1
311,0
312,0
313,0
314,0
315,1
316,1
317,0
318,1
319,0
320,0
321,1
322,0
323,1
324,1
325,0
326,1
327,1
328,0
329,0
330,1
331,1
332,1
333,1
334,0
335,0
336,1
337,1
338,0
339,0
340,1
341,0
342,0
343,1
344,1
345,1
346,0
347,0
348,1
349,0
350,0
351,1
352,1
353,0
354,1
355,1
356,0
357,0
358,1
359,1
360,1
361,0
362,1
363,1
364,0
365,0
366,0
367,1
368,0
369,0
370,1
371,1
372,1
373,1
374,1
375,0
376,0
377,0
378,1
379,0
380,1
381,1
382,1
383,1
384,0
385,0
386,1
387,1
388,1
389,1
390,1
391,0
392,0
393,1
394,0
395,0
396,1
397,1
398,0
399,1
400,0
401,1
402,0
403,0
404,0
405,0
406,1
407,1
408,1
409,0
410,1
411,1
412,0
413,0
414,0
415,0
416,1
417,1
418,1
419,0
420,0
421,1
422,0
423,0
424,1
425,1
426,0
427,1
428,1
429,1
430,0
431,0
432,1
433,0
434,1
435,0
436,1
437,1
438,0
439,1
440,1
441,1
442,1
443,1
444,1
445,0
446,1
447,1
448,0
449,1
450,1
451,1
452,0
453,0
454,0
455,1
456,0
457,0
458,1
459,1
460,1
461,1
462,0
463,1
464,0
465,0
466,1
467,0
468,1
469,1
470,0
471,1
472,1
473,0
474,0
475,1
476,1
477,0
478,0
479,0
480,1
481,0
482,1
483,1
484,0
485,0
486,0
487,1
488,1
489,1
490,1
491,1
492,0
493,1
494,0
495,1
496,1
497,1
498,0
499,1
500,0
501,1
502,0
503,0
504,0
505,1
506,0
507,0
508,1
509,0
510,1
511,0
512,1
513,1
514,0
515,0
516,0
517,1
518,0
519,0
520,1
521,1
522,1
523,1
524,1
525,0
526,1
527,1
528,0
529,0
530,0
531,1
532,0
533,1
534,1
535,1
536,0
537,1
538,0
539,0
540,1
541,0
542,0
543,1
544,1
545,0
546,1
547,0
548,1
549,1
550,0
551,1
552,1
553,0
554,0
555,1
556,0
557,1
558,1
559,0
560,1
561,0
562,1
563,0
564,1
565,0
566,0
567,0
568,0
569,1
570,1
571,0
572,1
573,0
574,1
575,0
576,1
577,1
578,0
579,1
580,0
581,1
582,0
583,1
584,0
585,1
586,1
587,0
588,1
589,1
590,0
591,0
592,1
593,1
594,1
595,0
596,0
597,0
598,1
599,0
600,1
601,1
